,episode,score,avg_score,epsilon
0,0,22.0,22.0,1.0
1,1,21.0,21.5,1.0
2,2,40.0,27.666666666666668,0.9980000000000002
3,3,32.0,28.75,0.9948000000000006
4,4,29.0,28.8,0.9919000000000009
5,5,56.0,33.333333333333336,0.9863000000000015
6,6,30.0,32.857142857142854,0.9833000000000018
7,7,25.0,31.875,0.9808000000000021
8,8,23.0,30.88888888888889,0.9785000000000024
9,9,15.0,29.3,0.9770000000000025
10,10,14.0,27.90909090909091,0.9756000000000027
11,11,61.0,30.666666666666668,0.9695000000000034
12,12,29.0,30.53846153846154,0.9666000000000037
13,13,55.0,32.285714285714285,0.9611000000000043
14,14,14.0,31.066666666666666,0.9597000000000044
15,15,13.0,29.9375,0.9584000000000046
16,16,68.0,32.1764705882353,0.9516000000000053
17,17,28.0,31.944444444444443,0.9488000000000056
18,18,12.0,30.894736842105264,0.9476000000000058
19,19,46.0,31.65,0.9430000000000063
20,20,10.0,30.61904761904762,0.9420000000000064
21,21,17.0,30.0,0.9403000000000066
22,22,11.0,29.17391304347826,0.9392000000000067
23,23,12.0,28.458333333333332,0.9380000000000068
24,24,24.0,28.28,0.9356000000000071
25,25,16.0,27.807692307692307,0.9340000000000073
26,26,16.0,27.37037037037037,0.9324000000000074
27,27,31.0,27.5,0.9293000000000078
28,28,20.0,27.24137931034483,0.927300000000008
29,29,22.0,27.066666666666666,0.9251000000000082
30,30,13.0,26.612903225806452,0.9238000000000084
31,31,24.0,26.53125,0.9214000000000087
32,32,30.0,26.636363636363637,0.918400000000009
33,33,33.0,26.823529411764707,0.9151000000000094
34,34,37.0,27.114285714285714,0.9114000000000098
35,35,28.0,27.13888888888889,0.9086000000000101
36,36,20.0,26.945945945945947,0.9066000000000103
37,37,26.0,26.92105263157895,0.9040000000000106
38,38,42.0,27.307692307692307,0.899800000000011
39,39,12.0,26.925,0.8986000000000112
40,40,8.0,26.463414634146343,0.8978000000000113
41,41,59.0,27.238095238095237,0.8919000000000119
42,42,12.0,26.88372093023256,0.890700000000012
43,43,20.0,26.727272727272727,0.8887000000000123
44,44,10.0,26.355555555555554,0.8877000000000124
45,45,12.0,26.043478260869566,0.8865000000000125
46,46,40.0,26.340425531914892,0.8825000000000129
47,47,14.0,26.083333333333332,0.8811000000000131
48,48,45.0,26.46938775510204,0.8766000000000136
49,49,30.0,26.54,0.8736000000000139
50,50,24.0,26.49019607843137,0.8712000000000142
51,51,20.0,26.365384615384617,0.8692000000000144
52,52,28.0,26.39622641509434,0.8664000000000147
53,53,46.0,26.75925925925926,0.8618000000000152
54,54,28.0,26.78181818181818,0.8590000000000155
55,55,27.0,26.785714285714285,0.8563000000000158
56,56,21.0,26.68421052631579,0.8542000000000161
57,57,17.0,26.517241379310345,0.8525000000000162
58,58,26.0,26.508474576271187,0.8499000000000165
59,59,33.0,26.616666666666667,0.8466000000000169
60,60,23.0,26.557377049180328,0.8443000000000171
61,61,41.0,26.79032258064516,0.8402000000000176
62,62,10.0,26.523809523809526,0.8392000000000177
63,63,43.0,26.78125,0.8349000000000182
64,64,48.0,27.107692307692307,0.8301000000000187
65,65,21.0,27.015151515151516,0.8280000000000189
66,66,23.0,26.955223880597014,0.8257000000000192
67,67,15.0,26.779411764705884,0.8242000000000194
68,68,20.0,26.681159420289855,0.8222000000000196
69,69,21.0,26.6,0.8201000000000198
70,70,31.0,26.661971830985916,0.8170000000000202
71,71,34.0,26.76388888888889,0.8136000000000205
72,72,15.0,26.602739726027398,0.8121000000000207
73,73,14.0,26.43243243243243,0.8107000000000208
74,74,10.0,26.213333333333335,0.809700000000021
75,75,35.0,26.32894736842105,0.8062000000000213
76,76,58.0,26.74025974025974,0.800400000000022
77,77,34.0,26.833333333333332,0.7970000000000224
78,78,17.0,26.70886075949367,0.7953000000000225
79,79,43.0,26.9125,0.791000000000023
80,80,39.0,27.061728395061728,0.7871000000000234
81,81,11.0,26.865853658536587,0.7860000000000236
82,82,19.0,26.771084337349397,0.7841000000000238
83,83,19.0,26.678571428571427,0.782200000000024
84,84,27.0,26.68235294117647,0.7795000000000243
85,85,73.0,27.22093023255814,0.7722000000000251
86,86,94.0,27.988505747126435,0.7628000000000261
87,87,25.0,27.954545454545453,0.7603000000000264
88,88,22.0,27.8876404494382,0.7581000000000266
89,89,19.0,27.788888888888888,0.7562000000000269
90,90,13.0,27.626373626373628,0.754900000000027
91,91,19.0,27.532608695652176,0.7530000000000272
92,92,19.0,27.440860215053764,0.7511000000000274
93,93,49.0,27.670212765957448,0.746200000000028
94,94,34.0,27.736842105263158,0.7428000000000283
95,95,55.0,28.020833333333332,0.7373000000000289
96,96,20.0,27.938144329896907,0.7353000000000292
97,97,23.0,27.887755102040817,0.7330000000000294
